season,division,round_id,bracket_location,region_label,game_id,status,status_detail,location,odds,team_one_id,team_one_name,team_one_seed,team_one_abbreviation,team_two_id,team_two_name,team_two_seed,team_two_abbreviation
2026,M,1,31,MIDWEST,401856525,Scheduled,3/20 - 12:15 PM EDT,"St. Louis, MO",UK -4.5,1246,Kentucky,7.0,UK,1365,Santa Clara,10.0,SCU
2026,M,1,32,MIDWEST,401856524,Scheduled,3/20 - 2:50 PM EDT,"St. Louis, MO",ISU -25.5,1235,Iowa State,2.0,ISU,1398,Tennessee St,15.0,TNST
2026,M,2,1,EAST,,,,,,0,TBD,,,0,TBD,,
2026,M,2,2,EAST,,,,,,0,TBD,,,0,TBD,,
2026,M,2,3,EAST,,,,,,0,TBD,,,0,TBD,,
2026,M,2,4,EAST,,,,,,0,TBD,,,0,TBD,,
2026,M,2,5,SOUTH,,,,,,0,TBD,,,0,TBD,,
2026,M,2,6,SOUTH,,,,,,0,TBD,,,0,TBD,,
2026,M,2,7,SOUTH,,,,,,0,TBD,,,0,TBD,,
2026,M,2,8,SOUTH,,,,,,0,TBD,,,0,TBD,,
2026,M,2,9,WEST,,,,,,0,TBD,,,0,TBD,,
2026,M,2,10,WEST,,,,,,0,TBD,,,0,TBD,,
2026,M,2,11,WEST,,,,,,0,TBD,,,0,TBD,,
2026,M,2,12,WEST,,,,,,0,TBD,,,0,TBD,,
2026,M,2,13,MIDWEST,,,,,,0,TBD,,,0,TBD,,
2026,M,2,14,MIDWEST,,,,,,0,TBD,,,0,TBD,,
2026,M,2,15,MIDWEST,,,,,,0,TBD,,,0,TBD,,
2026,M,2,16,MIDWEST,,,,,,0,TBD,,,0,TBD,,
2026,M,3,1,EAST,,,,,,0,TBD,,,0,TBD,,
2026,M,3,2,EAST,,,,,,0,TBD,,,0,TBD,,
2026,M,3,3,SOUTH,,,,,,0,TBD,,,0,TBD,,
2026,M,3,4,SOUTH,,,,,,0,TBD,,,0,TBD,,
2026,M,3,5,WEST,,,,,,0,TBD,,,0,TBD,,
2026,M,3,6,WEST,,,,,,0,TBD,,,0,TBD,,
2026,M,3,7,MIDWEST,,,,,,0,TBD,,,0,TBD,,
2026,M,3,8,MIDWEST,,,,,,0,TBD,,,0,TBD,,
2026,M,4,1,EAST,,,,,,0,TBD,,,0,TBD,,
2026,M,4,2,SOUTH,,,,,,0,TBD,,,0,TBD,,
2026,M,4,3,WEST,,,,,,0,TBD,,,0,TBD,,
2026,M,4,4,MIDWEST,,,,,,0,TBD,,,0,TBD,,
2026,M,5,1,Final Four Left,,,,,,0,TBD,,,0,TBD,,
2026,M,5,2,Final Four Right,,,,,,0,TBD,,,0,TBD,,
2026,M,6,1,Championship,,,,,,0,TBD,,,0,TBD,,
